Date;Price;Open;High;Low;Vol.;Change %
09/07/2022;0.6190;0.5980;0.6850;0.5740;477.65M;13.79%
09/06/2022;0.5440;0.5560;0.5650;0.5370;12.77M;-2.16%
09/05/2022;0.5560;0.5455;0.5575;0.5435;10.20M;1.83%
09/02/2022;0.5460;0.5580;0.5590;0.5420;12.82M;1.49%
09/01/2022;0.5380;0.5460;0.5460;0.5300;6.70M;-1.28%
08/31/2022;0.5450;0.5300;0.5450;0.5300;6.49M;0.46%
08/30/2022;0.5425;0.5510;0.5560;0.5375;12.33M;-1.81%
08/29/2022;0.5525;0.5505;0.5740;0.5425;15.92M;1.38%
08/26/2022;0.5450;0.5430;0.5550;0.5300;19.09M;0.55%
08/25/2022;0.5420;0.5390;0.5425;0.5385;2.19M;0.65%
08/24/2022;0.5385;0.5430;0.5430;0.5380;3.43M;-0.28%
08/23/2022;0.5400;0.5425;0.5445;0.5370;3.99M;-0.46%
08/22/2022;0.5425;0.5420;0.5445;0.5355;4.40M;0.00%
08/19/2022;0.5425;0.5420;0.5470;0.5320;7.93M;0.00%
08/18/2022;0.5425;0.5400;0.5450;0.5395;3.32M;0.18%
08/17/2022;0.5415;0.5475;0.5560;0.5230;17.89M;-1.01%
08/16/2022;0.5470;0.5485;0.5835;0.5350;23.97M;0.09%
08/15/2022;0.5465;0.5500;0.5600;0.5415;12.39M;-0.64%
08/12/2022;0.5500;0.5500;0.5600;0.5400;2.95M;0.36%
08/11/2022;0.5480;0.5575;0.5700;0.5480;8.84M;-1.70%
08/10/2022;0.5575;0.5580;0.5640;0.5410;10.01M;1.64%
08/09/2022;0.5485;0.5630;0.5645;0.5345;15.58M;-2.40%
08/08/2022;0.5620;0.5650;0.5650;0.5550;2.05M;0.72%
08/05/2022;0.5580;0.5610;0.5610;0.5305;6.81M;0.54%
08/04/2022;0.5550;0.5515;0.5645;0.5460;15.67M;-1.60%
08/03/2022;0.5640;0.5625;0.5655;0.5450;7.56M;0.00%
08/02/2022;0.5640;0.5760;0.5765;0.5600;4.80M;-1.05%
08/01/2022;0.5700;0.5820;0.5830;0.5690;3.94M;-0.61%
07/29/2022;0.5735;0.5885;0.5975;0.5625;5.83M;-2.05%
07/28/2022;0.5855;0.5970;0.6000;0.5820;5.65M;-1.76%
07/27/2022;0.5960;0.5990;0.6150;0.5855;6.68M;1.02%
07/26/2022;0.5900;0.6095;0.6110;0.5900;9.10M;-2.48%
07/25/2022;0.6050;0.5910;0.6200;0.5910;14.98M;2.63%
07/22/2022;0.5895;0.6070;0.6200;0.5735;11.87M;-2.88%
07/21/2022;0.6070;0.5605;0.6300;0.5210;21.46M;8.39%
07/20/2022;0.5600;0.5625;0.5700;0.5565;6.45M;-1.15%
07/19/2022;0.5665;0.5740;0.5740;0.5600;4.77M;-0.70%
07/18/2022;0.5705;0.5775;0.5850;0.5645;7.41M;-1.55%
07/15/2022;0.5795;0.5725;0.5830;0.5660;6.88M;0.78%
07/14/2022;0.5750;0.5650;0.5815;0.5610;7.04M;0.97%
07/13/2022;0.5695;0.5855;0.6080;0.5600;15.83M;-5.71%
07/12/2022;0.6040;0.6085;0.6150;0.5925;13.93M;1.17%
07/11/2022;0.5970;0.6295;0.6295;0.5955;18.65M;-5.61%
07/08/2022;0.6325;0.6300;0.6400;0.6170;7.94M;0.32%
07/07/2022;0.6305;0.6195;0.6395;0.6060;13.44M;1.94%
07/06/2022;0.6185;0.6215;0.6345;0.6100;10.07M;-0.24%
07/05/2022;0.6200;0.6440;0.6525;0.6160;35.77M;-3.43%
07/04/2022;0.6420;0.6400;0.6525;0.6345;26.62M;0.31%
07/01/2022;0.6400;0.6200;0.6500;0.6015;25.71M;3.23%
06/30/2022;0.6200;0.6580;0.6775;0.5300;27.05M;-5.27%
06/29/2022;0.6545;0.6600;0.6770;0.6500;12.77M;-0.83%
06/28/2022;0.6600;0.6525;0.6775;0.6170;62.28M;1.54%
06/27/2022;0.6500;0.6240;0.6525;0.6145;14.24M;4.92%
06/24/2022;0.6195;0.6320;0.6490;0.6100;5.13M;-1.98%
06/23/2022;0.6320;0.6380;0.6420;0.6285;2.27M;-1.10%
06/22/2022;0.6390;0.6280;0.6500;0.6270;9.32M;1.75%
06/21/2022;0.6280;0.6410;0.6500;0.6265;6.55M;-2.03%
06/20/2022;0.6410;0.6495;0.6495;0.6335;3.28M;-0.85%
06/17/2022;0.6465;0.6490;0.6525;0.6370;6.53M;-0.46%
06/16/2022;0.6495;0.6455;0.6500;0.6420;6.98M;0.62%
06/15/2022;0.6455;0.6370;0.6500;0.6255;5.95M;1.97%
06/14/2022;0.6330;0.6435;0.6550;0.6220;5.81M;-0.47%
06/10/2022;0.6360;0.6195;0.6550;0.6085;10.08M;3.58%
06/09/2022;0.6140;0.6555;0.6675;0.5870;22.64M;-5.54%
06/08/2022;0.6500;0.6610;0.6790;0.6270;45.74M;8.15%
06/07/2022;0.6010;0.6050;0.6115;0.5915;2.45M;-0.08%
06/06/2022;0.6015;0.6075;0.6225;0.5905;3.91M;-0.99%
06/03/2022;0.6075;0.6235;0.6245;0.6010;7.00M;-0.98%
06/02/2022;0.6135;0.6100;0.6600;0.6020;19.83M;1.74%
06/01/2022;0.6030;0.5830;0.6790;0.5600;50.02M;5.51%
05/31/2022;0.5715;0.5725;0.5880;0.5715;1.46M;-1.64%
05/30/2022;0.5810;0.5850;0.5910;0.5725;3.18M;0.52%
05/27/2022;0.5780;0.5720;0.6000;0.5700;5.96M;2.12%
05/26/2022;0.5660;0.5740;0.5815;0.5510;4.17M;-1.57%
05/25/2022;0.5750;0.5600;0.5780;0.5540;2.39M;1.86%
05/24/2022;0.5645;0.6095;0.6095;0.5355;11.70M;-6.23%
05/23/2022;0.6020;0.6085;0.6220;0.6000;4.97M;-1.07%
05/20/2022;0.6085;0.6350;0.6410;0.6050;3.06M;-2.17%
05/19/2022;0.6220;0.6355;0.6445;0.5660;16.52M;-2.12%
05/18/2022;0.6355;0.6310;0.6500;0.6305;4.23M;0.39%
05/17/2022;0.6330;0.6305;0.6475;0.6280;5.85M;-0.71%
05/16/2022;0.6375;0.6500;0.6570;0.6215;8.31M;-1.92%
05/13/2022;0.6500;0.6520;0.6615;0.6250;4.59M;-0.76%
05/12/2022;0.6550;0.6690;0.6795;0.6520;2.71M;-2.02%
05/11/2022;0.6685;0.6690;0.6745;0.6570;5.65M;-0.45%
