Date;Price;Open;High;Low;Vol.;Change %
07/21/2022;68.640;69.800;70.600;68.420;605.44K;-1.49%
07/20/2022;69.680;71.060;71.060;67.960;598.02K;-0.99%
07/19/2022;70.380;68.720;71.380;68.320;576.62K;1.88%
07/18/2022;69.080;68.040;69.780;67.820;576.66K;2.37%
07/15/2022;67.480;64.000;67.660;63.500;772.94K;5.60%
07/14/2022;63.900;65.060;65.960;63.080;552.69K;-2.05%
07/13/2022;65.240;65.380;65.720;63.960;547.63K;-1.18%
07/12/2022;66.020;65.540;66.280;64.620;377.85K;-0.12%
07/11/2022;66.100;66.060;66.820;65.520;532.43K;-2.42%
07/08/2022;67.740;63.740;67.880;63.700;1.06M;6.14%
07/07/2022;63.820;61.080;64.380;61.040;877.29K;6.51%
07/06/2022;59.920;60.160;61.260;59.920;477.13K;1.46%
07/05/2022;59.060;62.240;62.680;59.060;741.54K;-4.37%
07/04/2022;61.760;63.440;63.780;61.760;521.31K;-1.87%
07/01/2022;62.940;62.360;63.580;61.600;516.77K;-0.29%
06/30/2022;63.120;64.820;64.820;61.360;1.06M;-4.10%
06/29/2022;65.820;67.000;67.060;65.240;622.26K;-3.03%
06/28/2022;67.880;66.780;69.160;66.540;681.79K;2.69%
06/27/2022;66.100;65.300;66.840;65.100;493.94K;2.01%
06/24/2022;64.800;65.860;65.900;63.920;855.68K;-0.95%
06/23/2022;65.420;67.400;67.680;65.100;920.59K;-3.42%
06/22/2022;67.740;67.280;68.180;66.100;459.84K;-1.02%
06/21/2022;68.440;67.600;68.880;67.300;511.32K;1.63%
06/20/2022;67.340;67.880;68.460;67.080;522.02K;-0.24%
06/17/2022;67.500;68.640;68.900;67.360;1.14M;-1.55%
06/16/2022;68.560;69.140;69.500;67.600;673.97K;-1.24%
06/15/2022;69.420;69.580;70.240;69.200;744.67K;1.40%
06/14/2022;68.460;70.220;70.400;67.900;912.16K;-0.81%
06/13/2022;69.020;71.500;71.860;68.040;1.05M;-5.06%
06/10/2022;72.700;74.320;74.440;72.180;635.19K;-3.01%
